x,y,value
T079,M F Poon,0
T079,W M Lai,0
T079,O Peslier,0
T079,C Murray,0
T079,A Sanna,0
L247,O Doleuze,0
L247,N Rawiller,0
L247,O Bosson,0
L247,H N Wong,0
L247,M Chadwick,0.166666667
L247,T H So,0
L247,Z Purton,0
L247,K C Ng,0
L247,S Clipperton,0
L247,K K Chiong,0
L247,K C Leung,0
L247,N Callan,0
L247,K Teetan,0
L247,H T Mo,0
L247,B Prebble,0
L247,J Moreira,0
L247,D Whyte,0
L247,M L Yeung,0
L247,C Y Ho,0
L247,H W Lai,0
L247,Y T Cheng,0
L247,C Schofield,0
L247,S de Sousa,0
L247,U Rispoli,0
L247,C Williams,0
L247,L Corrales,0
L247,O Murphy,0
L247,G Mosse,0
L247,T Berry,0
L247,H Bowman,0
L247,C Soumillon,0
L247,D Lane,0
L247,M Barzalona,0
L247,F Geroux,0
L247,P Smullen,0
L247,G Lerena,0
L247,M Demuro,0
L247,R Moore,0
L247,K Tosaki,0
L247,N Juglall,0
L247,T Clark,0
L247,A Badel,0
L247,M Guyon,0
L247,Y Iwata,0
L247,Y Take,0
L247,R Myers,0
L247,S Pasquier,0
L247,B Vorster,0
L247,B Melham,0
L247,G Lee,0
L247,Y Kawada,0
L247,D O'Brien,0
L247,P-C Boudot,0
L247,G Schofield,0
L247,H Lam,0
L247,M Wepner,0
L247,C Perkins,0
L247,R Curatolo,0
L247,W L Ho,0
L247,M F Poon,0
L247,W M Lai,0
L247,O Peslier,0
L247,C Murray,0
L247,A Sanna,0
S193,O Doleuze,0
S193,N Rawiller,0
S193,O Bosson,0
S193,H N Wong,0
S193,M Chadwick,0
S193,T H So,0
S193,Z Purton,0
S193,K C Ng,0
S193,S Clipperton,0
S193,K K Chiong,0
S193,K C Leung,0.333333333
S193,N Callan,0
S193,K Teetan,0
S193,H T Mo,0
S193,B Prebble,0
S193,J Moreira,0
S193,D Whyte,0
S193,M L Yeung,0
S193,C Y Ho,0
S193,H W Lai,0
S193,Y T Cheng,0
S193,C Schofield,0
S193,S de Sousa,0
S193,U Rispoli,0
S193,C Williams,0
S193,L Corrales,0
S193,O Murphy,0
S193,G Mosse,0
S193,T Berry,0
S193,H Bowman,0
S193,C Soumillon,0
S193,D Lane,0
S193,M Barzalona,0
S193,F Geroux,0
S193,P Smullen,0
S193,G Lerena,0
S193,M Demuro,0
S193,R Moore,0
S193,K Tosaki,0
S193,N Juglall,0
S193,T Clark,0
S193,A Badel,0
S193,M Guyon,0
S193,Y Iwata,0
S193,Y Take,0
S193,R Myers,0
S193,S Pasquier,0
S193,B Vorster,0
S193,B Melham,0
S193,G Lee,0
S193,Y Kawada,0
S193,D O'Brien,0
S193,P-C Boudot,0
S193,G Schofield,0
S193,H Lam,0
S193,M Wepner,0
