date,V313,S424,P066,T022,V141,S441,N387,T079,T039,T123,A031,T356,V064,V375,T423,P128,T045,V179,T329,T203,S376,V060,S300,S074,V317,T418,S176
20161001,0,0,0,0,0.2,0,0.133928572,0.090909091,0,0.076923077,0,0.060661765,0,0,0,0.090909091,0.1,0,0,0,0.416666667,0,0.074175824,0,0,0.041666667,0.333333333
20161101,0,0,0.076923077,0,0.261363637,0,0.111111111,0.083333333,0,0.083333333,0,0.057189543,0,0,0,0,0.2,0,0.045454546,0,0.416666667,0,0,0.333333333,0,0.087121212,0.25
20161201,0,0,0,0,0.230769231,0,0,0.076923077,0,0.083333333,0,0,0,0,0,0,0.366666667,0,0.160256411,0,0.400641026,0,0,0.363636364,0,0.074175824,0
20170101,0,0.5,0.083333333,0,0.209523809,0,0.125,0.083333333,0,0.083333333,0,0,0,0,0,0,0.285714286,0,0,0,0.307692308,0,0,0.3,0,0.107142857,0
20170201,0,0.25,0,0.125,0.25,0,0.118055556,0,0,0,0,0,0,0,0,0,0.375,0,0.153846154,0,0.307692308,0.111111111,0,0.3,0,0.138095238,0
20170301,0,0.333333333,0.136363637,0.142857143,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0.05,0.148351649,0.1,0.307692308,0.1,0,0,0.083721834,0.133333333,0.214285715
20170401,0.125,0.333333333,0,0.285714286,0.261111111,0,0,0.208333334,0,0,0,0.071428571,0,0,0,0,0.333333333,0.095454546,0.142857143,0.174242425,0.230769231,0.1,0,0.222222222,0.071428571,0.125,0
20170501,0.111111111,0.225,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0.422222222,0.1,0.142857143,0.25,0.178571429,0.090909091,0,0.055555556,0,0.125,0
20170601,0.1,0,0,0.333333333,0.285714286,0,0,0.174242425,0,0,0,0.074175824,0,0,0,0,0,0.1,0,0,0,0,0,0,0.066666667,0.117647059,0
